#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-23T03:15:07 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-23T03:15:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=50&-order=I&-out.src=J/AJ/156/84/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/156/84/table1&-out=RAJ2000&-out=DEJ2000&-out=2MASS&-out=Gaia&-out=more&-out=Nep&-out=Teff&-out=logg&-out=l_RVmean&-out=RVmean&-out=Fbol&-out=Av&-out=Theta&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51560084
#Name: J/AJ/156/84
#Title: APOGEE-2 survey of Orion Complex. II. (Kounkel+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/aj/156/84	    IVOID of underlying data collection
#INFO	creator=Kounkel M.	    First author or institution
#INFO	cites=bibcode:2018AJ....156...84K	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/156/84	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51560084	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_156_84_table1:
#Name: J/AJ/156/84/table1
#Title: Properties derived from the APOGEE spectra towards the stars in Orion
#Column	RAJ2000	(F18.14)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F18.14)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A18)	2MASS position based identifier (2MHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Gaia	(I19)	? Gaia DR2 identifier	[ucd=meta.id]
#Column	more	(A1)	indicates data in Table 2 for this star	[ucd=meta.ref.url]
#Column	Nep	(I2)	[1/27] Number of epochs	[ucd=meta.number]
#Column	Teff	(F8.2)	[2300.05/14999.8] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F9.6)	[-0.497235/5.99984] Surface gravity	[ucd=phys.gravity]
#Column	l_RVmean	(A1)	[<] Limit flag on RVmean	[ucd=meta.code.error]
#Column	RVmean	(F10.5)	[-170.587/552.16] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	Fbol	(F11.6)	[0.028791/2481.34]? Bolometric flux (in 10^-10^ erg/s/cm^2^)	[ucd=phot.flux.bol]
#Column	Av	(F5.2)	[0.05/4.5]? Visual extinction	[ucd=phys.absorption;em.opt.V]
#Column	Theta	(F10.6)	[4.91477/166.521]? Stellar angular radius {Theta}	[ucd=phys.angSize;src]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	2MASS	Gaia	more	Nep	Teff	logg	l_RVmean	RVmean	Fbol	Av	Theta	SimbadName
085.63854217529300	-09.90914535522461	2M05423324-0954329	3011908767657025024	 	 1	 3644.14	 4.056930	 	  20.85270	           	     	          	2MASS J05423324-0954329
085.48883056640619	-09.89965438842773	2M05415731-0953587	3011911104119183360	 	 1	 4211.87	 4.548680	 	  20.92200	           	     	          	2MASS J05415731-0953587
085.17469024658200	-09.88650417327881	2M05404192-0953114	3012078573484188672	*	 2	 6396.36	 4.722420	<	   1.13443	  10.990535	     	 22.195345	2MASS J05404192-0953114
085.62807464599609	-09.88414955139160	2M05423073-0953029	3011909076894669312	*	 1	 4032.89	 4.482700	 	  20.92410	           	     	          	2MASS J05423073-0953029
084.89884948730470	-09.87140846252441	2M05393572-0952170	3012088022412194816	*	 2	 6506.35	 3.833290	<	   3.77548	  25.230605	     	 32.501786	2MASS J05393572-0952170
085.76317596435550	-09.87011241912842	2M05430316-0952124	3011914471373583616	 	 1	 3834.96	 4.324070	 	  22.82610	           	     	          	2MASS J05430316-0952124
085.43090057373050	-09.85133552551270	2M05414341-0951048	3012099326765430272	 	 1	 3964.80	 4.779170	 	  20.15330	   0.614327	 1.85	 13.657639	2MASS J05414341-0951048
085.73773956298830	-09.84746932983398	2M05425705-0950508	3011915291711598464	 	 1	 4429.11	 4.546870	 	  21.56500	           	     	          	2MASS J05425705-0950508
084.33126068115230	-09.84676170349121	2M05371950-0950483	3010648654316239232	*	 1	 5521.55	 4.170570	 	 103.60900	  11.975882	 1.95	 31.092099	2MASS J05371950-0950483
085.70380401611330	-09.83673095703125	2M05424891-0950122	3011909695369951616	*	 1	 4831.93	 4.336590	 	  22.04160	           	     	          	2MASS J05424891-0950122
085.49167633056641	-09.83089065551758	2M05415800-0949512	3012099601644059264	 	 1	 4009.99	 4.310150	 	  21.48240	   0.951910	 1.30	 16.619947	2MASS J05415800-0949512
086.09641265869141	-09.82765483856201	2M05442313-0949395	3011994563924211584	*	 1	 4829.58	 3.722890	 	 -23.59650	  23.729035	 2.60	 57.205735	2MASS J05442313-0949395
084.39495849609381	-09.81816387176514	2M05373478-0949053	3010648482517546496	*	 1	 5670.24	 5.177510	 	  19.37760	   7.103407	 0.30	 22.706421	2MASS J05373478-0949053
085.69873809814450	-09.78950786590576	2M05424769-0947222	3011918697621401088	*	 1	 7139.89	 4.518040	<	   3.43320	           	     	          	2MASS J05424769-0947222
085.81267547607420	-09.77300071716309	2M05431504-0946228	3011916086281273856	*	 1	 3999.59	 4.647260	 	  19.01490	           	     	          	2MASS J05431504-0946228
085.71849060058589	-09.76106071472168	2M05425243-0945398	3011919414880219648	 	 1	 4136.01	 4.402240	 	  22.11830	           	     	          	2MASS J05425243-0945398
085.69004058837891	-09.75244426727295	2M05424560-0945087	3011919105642576512	 	 1	 4154.84	 4.411770	 	  22.86390	           	     	          	2MASS J05424560-0945087
085.63646697998050	-09.75185108184814	2M05423275-0945066	3011919998995514112	 	 1	 4408.53	 4.597320	 	  21.06880	           	     	          	2MASS J05423275-0945066
085.24264526367190	-09.75182533264160	2M05405823-0945065	                   	 	 1	 2989.06	 4.386250	<	   2.18006	           	     	          	2MASS J05405823-0945065
085.31884765625000	-09.73737907409668	2M05411652-0944145	3012104652525600896	 	 1	 3693.60	 4.266540	 	  20.56710	   0.784944	 3.25	 17.788439	2MASS J05411652-0944145
084.24222564697270	-09.71960830688477	2M05365813-0943105	3010653572055427200	*	 1	 6647.44	 5.366610	 	  43.70200	  11.790839	 0.70	 21.285398	2MASS J05365813-0943105
084.87857055664060	-09.70662307739258	2M05393085-0942238	3012143238511733760	*	 3	 9298.35	 4.612350	<	   7.88728	 768.912190	     	 87.850635	2MASS J05393085-0942238
085.04903411865230	-09.70306968688965	2M05401176-0942110	3012097059023353216	 	 1	 5631.95	 3.158730	<	  11.19700	           	     	          	2MASS J05401176-0942110
085.02272033691411	-09.69425392150879	2M05400545-0941393	3012097879360715776	*	 1	 5567.60	 5.006120	 	   9.02350	   4.575914	 0.35	 18.902583	2MASS J05400545-0941393
085.17926025390619	-09.69162273406982	2M05404302-0941298	3012094409027140480	*	 1	 6577.03	 5.348750	 	  45.80310	  23.031720	 0.45	 30.389380	2MASS J05404302-0941298
085.35040283203119	-09.68201732635498	2M05412409-0940552	3012105408439883648	 	 1	 4319.86	 2.894170	 	  49.93670	   1.272920	 4.35	 16.560727	2MASS J05412409-0940552
085.19673156738280	-09.67191505432129	2M05404721-0940188	3012117915384612224	 	 1	 7071.20	 5.196330	<	   2.08707	   5.209329	 4.50	 12.503250	2MASS J05404721-0940188

