#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:17:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:17:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_RAJ,_DEJ&-c.r=  2&-c.geom=r&-source=J/A+A/661/A53/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=l_Mdust&-out=Mdust&Simbad=Simbad&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610053
#Name: J/A+A/661/A53
#Title: Survey of Orion disks with ALMA (SODA) (van Terwisga+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a53	    IVOID of underlying data collection
#INFO	creator=van Terwisga S.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..53V	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A53	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610053	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A53_table1:
#Name: J/A+A/661/A53/table1
#Title: Continuum fluxes and masses for the SODA sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_Mdust	(A1)	[<] Upper limit flag on Mdust	[ucd=meta.code.error]
#Column	Mdust	(F5.1)	[1.1/363.92] Disk dust mass	[ucd=phys.mass]
_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	l_Mdust	Mdust
085.6493333	 -9.9820333	05 42 35.84	-09 58 55.32	 	 15.1
085.6776250	 -9.9771444	05 42 42.63	-09 58 37.72	<	  2.4
085.5432917	 -9.9772833	05 42 10.39	-09 58 38.22	 	141.4
085.7398750	 -9.9729500	05 42 57.57	-09 58 22.62	<	  2.1
085.6318750	 -9.9615000	05 42 31.65	-09 57 41.40	 	  4.1
085.7156250	 -9.9614222	05 42 51.75	-09 57 41.12	 	 87.0
085.7365417	 -9.9600611	05 42 56.77	-09 57 36.22	 	  5.2
085.5117083	 -9.9532889	05 42 02.81	-09 57 11.84	<	  2.3
085.5585000	 -9.9386611	05 42 14.04	-09 56 19.18	 	 15.6
085.5591250	 -9.9369667	05 42 14.19	-09 56 13.08	 	 23.7
085.6743333	 -9.9354222	05 42 41.84	-09 56 07.52	<	  2.2
085.7245833	 -9.9334278	05 42 53.90	-09 56 00.34	 	  2.7
085.6634167	 -9.9258056	05 42 39.22	-09 55 32.90	 	 69.1
085.6387500	 -9.9087500	05 42 33.30	-09 54 31.50	<	  2.1
085.6936250	 -9.9006333	05 42 46.47	-09 54 02.28	 	  7.2
085.4888750	 -9.8997222	05 41 57.33	-09 53 59.00	<	  2.4
085.5916250	 -9.8900167	05 42 21.99	-09 53 24.06	 	  2.4
085.6280417	 -9.8841722	05 42 30.73	-09 53 03.02	 	 19.6
085.7632917	 -9.8703722	05 43 03.19	-09 52 13.34	<	  1.9
085.7670833	 -9.8667611	05 43 04.10	-09 52 00.34	<	  2.3
085.7501250	 -9.8524444	05 43 00.03	-09 51 08.80	<	  2.1
085.7377917	 -9.8476444	05 42 57.07	-09 50 51.52	 	  2.2
085.7037917	 -9.8367611	05 42 48.91	-09 50 12.34	 	 92.0
085.4916250	 -9.8308333	05 41 57.99	-09 49 51.00	 	  4.5
085.5891667	 -9.8289556	05 42 21.40	-09 49 44.24	 	 11.4
085.6921667	 -9.8285167	05 42 46.12	-09 49 42.66	 	  5.9
085.6929583	 -9.8009278	05 42 46.31	-09 48 03.34	 	  6.3
085.6985833	 -9.7892056	05 42 47.66	-09 47 21.14	<	  2.2
085.7361250	 -9.7830778	05 42 56.67	-09 46 59.08	 	  5.9
085.4100000	 -9.7780111	05 41 38.40	-09 46 40.84	 	 16.1
085.6243750	 -9.7775667	05 42 29.85	-09 46 39.24	 	 30.8
085.7328333	 -9.7771222	05 42 55.88	-09 46 37.64	<	  2.2
085.6959167	 -9.7744667	05 42 47.02	-09 46 28.08	<	  2.3
085.8127083	 -9.7730000	05 43 15.05	-09 46 22.80	 	 47.4
085.7006667	 -9.7713611	05 42 48.16	-09 46 16.90	 	  6.4
085.7050000	 -9.7669833	05 42 49.20	-09 46 01.14	 	  3.9
085.7149583	 -9.7646333	05 42 51.59	-09 45 52.68	<	  2.2
085.7185000	 -9.7610444	05 42 52.44	-09 45 39.76	<	  2.1
085.7087500	 -9.7552944	05 42 50.10	-09 45 19.06	<	  2.4
085.7058333	 -9.7541611	05 42 49.40	-09 45 14.98	 	 13.2
085.6901250	 -9.7524167	05 42 45.63	-09 45 08.70	 	  5.0
085.6365000	 -9.7518944	05 42 32.76	-09 45 06.82	 	  4.8
085.2425417	 -9.7517889	05 40 58.21	-09 45 06.44	<	  2.3
085.6776250	 -9.7509778	05 42 42.63	-09 45 03.52	 	 48.1
085.6994167	 -9.7475278	05 42 47.86	-09 44 51.10	 	 17.0
085.6841667	 -9.7465500	05 42 44.20	-09 44 47.58	<	  2.4
085.7061250	 -9.7443611	05 42 49.47	-09 44 39.70	 	 19.1
085.5933333	 -9.7390611	05 42 22.40	-09 44 20.62	<	  2.1
085.3188333	 -9.7374167	05 41 16.52	-09 44 14.70	 	  2.3
085.3035417	 -9.6609444	05 41 12.85	-09 39 39.40	<	  1.9
085.7062083	 -9.6450556	05 42 49.49	-09 38 42.20	 	 79.0
085.1795417	 -9.6188222	05 40 43.09	-09 37 07.76	<	  2.3
085.2637083	 -9.6144333	05 41 03.29	-09 36 51.96	 	 33.7
085.1728333	 -9.6072111	05 40 41.48	-09 36 25.96	<	  2.2
085.1265417	 -9.5981167	05 40 30.37	-09 35 53.22	 	 13.2
085.3900417	 -9.5791444	05 41 33.61	-09 34 44.92	 	  4.8
085.2190833	 -9.5775611	05 40 52.58	-09 34 39.22	<	  2.3
085.4011250	 -9.5667667	05 41 36.27	-09 34 00.36	<	  2.2
085.5140000	 -9.5482556	05 42 03.36	-09 32 53.72	<	  2.1
085.2664167	 -9.5393222	05 41 03.94	-09 32 21.56	 	  4.8
085.2881667	 -9.5374056	05 41 09.16	-09 32 14.66	<	  2.3
085.2200417	 -9.5363111	05 40 52.81	-09 32 10.72	<	  2.3
085.3654583	 -9.5281722	05 41 27.71	-09 31 41.42	 	 25.3
085.4030000	 -9.5128500	05 41 36.72	-09 30 46.26	 	  4.7
085.3175000	 -9.5047611	05 41 16.20	-09 30 17.14	 	  3.0
085.2920000	 -9.4948944	05 41 10.08	-09 29 41.62	<	  2.2
085.3114167	 -9.4822611	05 41 14.74	-09 28 56.14	 	 11.5
085.2167917	 -9.4692389	05 40 52.03	-09 28 09.26	 	  3.5
085.2185417	 -9.4573500	05 40 52.45	-09 27 26.46	 	  3.1
085.4077500	 -9.4384889	05 41 37.86	-09 26 18.56	 	 92.3
085.2584167	 -9.3980000	05 41 02.02	-09 23 52.80	<	  2.1
085.2021667	 -9.3963444	05 40 48.52	-09 23 46.84	 	  3.1
085.3675000	 -9.3945778	05 41 28.20	-09 23 40.48	 	 14.2
085.2670833	 -9.3889111	05 41 04.10	-09 23 20.08	 	331.8
085.1485000	 -9.3787000	05 40 35.64	-09 22 43.32	<	  2.3
085.2447500	 -9.3771667	05 40 58.74	-09 22 37.80	 	 13.1
085.7796250	 -9.3735667	05 43 07.11	-09 22 24.84	 	  4.0
085.6661667	 -9.3623722	05 42 39.88	-09 21 44.54	<	  2.2
085.2953333	 -9.3529889	05 41 10.88	-09 21 10.76	<	  2.4
085.6881250	 -9.3447556	05 42 45.15	-09 20 41.12	<	  2.1
085.2395000	 -9.3419222	05 40 57.48	-09 20 30.92	<	  2.1
085.1557917	 -9.3418444	05 40 37.39	-09 20 30.64	 	 35.2
085.1286250	 -9.3377667	05 40 30.87	-09 20 15.96	<	  1.9
085.1910000	 -9.3360611	05 40 45.84	-09 20 09.82	<	  2.2
085.2465833	 -9.3299389	05 40 59.18	-09 19 47.78	<	  2.2
085.2779583	 -9.3194056	05 41 06.71	-09 19 09.86	<	  2.2
085.2729583	 -9.3133389	05 41 05.51	-09 18 48.02	 	 19.3
085.2729583	 -9.3120056	05 41 05.51	-09 18 43.22	 	 23.1
085.2442917	 -9.3022000	05 40 58.63	-09 18 07.92	<	  1.9
085.4153750	 -9.2904222	05 41 39.69	-09 17 25.52	 	  2.2
085.1757083	 -9.2871778	05 40 42.17	-09 17 13.84	<	  2.3
085.1228333	 -9.2843500	05 40 29.48	-09 17 03.66	 	 15.9
085.2922083	 -9.2653167	05 41 10.13	-09 15 55.14	 	  4.1
085.2882083	 -9.2346444	05 41 09.17	-09 14 04.72	 	  4.0
085.2433333	 -9.2304667	05 40 58.40	-09 13 49.68	 	  9.9
085.2613333	 -9.2080833	05 41 02.72	-09 12 29.10	 	 15.5
085.6618333	 -9.2017111	05 42 38.84	-09 12 06.16	<	  2.5
085.3167500	 -9.1991333	05 41 16.02	-09 11 56.88	<	  2.3
085.5940000	 -9.1985389	05 42 22.56	-09 11 54.74	<	  2.0
085.6827083	 -9.1787278	05 42 43.85	-09 10 43.42	 	  6.3
085.6823750	 -9.1773556	05 42 43.77	-09 10 38.48	 	  4.6
085.6991667	 -9.1771889	05 42 47.80	-09 10 37.88	 	 14.5
085.5171667	 -9.1450722	05 42 04.12	-09 08 42.26	 	  2.3
085.4058750	 -9.1308222	05 41 37.41	-09 07 50.96	<	  2.0
085.2245417	 -9.1012222	05 40 53.89	-09 06 04.40	 	  9.5
085.1273750	 -9.0987111	05 40 30.57	-09 05 55.36	 	  2.6
085.2397917	 -9.0968167	05 40 57.55	-09 05 48.54	<	  2.2
085.8866667	 -9.0501944	05 43 32.80	-09 03 00.70	<	  2.0
085.5406250	 -9.0277611	05 42 09.75	-09 01 39.94	 	  6.0
085.4053333	 -9.0267944	05 41 37.28	-09 01 36.46	<	  2.5
085.2965833	 -9.0212722	05 41 11.18	-09 01 16.58	<	  2.2
085.3017083	 -9.0188778	05 41 12.41	-09 01 07.96	 	  5.4
086.0664583	 -9.0077444	05 44 15.95	-09 00 27.88	 	  3.0
085.3467917	 -8.9954000	05 41 23.23	-08 59 43.44	 	 17.9
085.3010000	 -8.9832722	05 41 12.24	-08 58 59.78	 	  4.4
085.3004583	 -8.9809333	05 41 12.11	-08 58 51.36	<	  1.3
085.3455417	 -8.9788278	05 41 22.93	-08 58 43.78	<	  1.4
085.3604167	 -8.9776611	05 41 26.50	-08 58 39.58	 	  8.7
085.7240000	 -8.9577444	05 42 53.76	-08 57 27.88	 	 51.2
085.2084167	 -8.9440722	05 40 50.02	-08 56 38.66	<	  1.6
085.3520833	 -8.9422611	05 41 24.50	-08 56 32.14	 	  1.7
085.6654167	 -8.9139556	05 42 39.70	-08 54 50.24	 	  3.2
085.1046667	 -8.9059500	05 40 25.12	-08 54 21.42	 	101.8
085.1537083	 -8.8966833	05 40 36.89	-08 53 48.06	 	  3.6
085.6439167	 -8.8940333	05 42 34.54	-08 53 38.52	 	 11.5
085.3022500	 -8.8795611	05 41 12.54	-08 52 46.42	<	  1.3
085.7310833	 -8.8720444	05 42 55.46	-08 52 19.36	<	  1.5
085.1750000	 -8.8718500	05 40 42.00	-08 52 18.66	<	  1.3
085.2051667	 -8.8560889	05 40 49.24	-08 51 21.92	 	 10.4
085.2037500	 -8.8542333	05 40 48.90	-08 51 15.24	 	  2.4
085.1992500	 -8.8512444	05 40 47.82	-08 51 04.48	<	  1.3
085.2003750	 -8.8456389	05 40 48.09	-08 50 44.30	 	 27.0
085.2202083	 -8.8432333	05 40 52.85	-08 50 35.64	 	  1.6
085.6628333	 -8.8411111	05 42 39.08	-08 50 28.00	<	  1.6
085.6767083	 -8.8039333	05 42 42.41	-08 48 14.16	 	  1.6
085.6797083	 -8.7601111	05 42 43.13	-08 45 36.40	<	  1.4
085.6790833	 -8.7591444	05 42 42.98	-08 45 32.92	<	  1.4
085.8794583	 -8.7400111	05 43 31.07	-08 44 24.04	<	  1.4
085.7537917	 -8.7384444	05 43 00.91	-08 44 18.40	 	  2.4
085.2759583	 -8.7349278	05 41 06.23	-08 44 05.74	 	  4.7
085.3770417	 -8.7330556	05 41 30.49	-08 43 59.00	 	  3.2
085.5012500	 -8.7249667	05 42 00.30	-08 43 29.88	<	  1.3
085.7539167	 -8.6873333	05 43 00.94	-08 41 14.40	<	  1.4
085.6596250	 -8.6838444	05 42 38.31	-08 41 01.84	 	  6.2
085.3997500	 -8.6829889	05 41 35.94	-08 40 58.76	 	  1.7
085.3315417	 -8.6774722	05 41 19.57	-08 40 38.90	 	  2.5
085.3996667	 -8.6713056	05 41 35.92	-08 40 16.70	<	  1.3
085.6700417	 -8.6690722	05 42 40.81	-08 40 08.66	 	 28.9
085.6920833	 -8.6668833	05 42 46.10	-08 40 00.78	 	  4.4
085.7281250	 -8.6664889	05 42 54.75	-08 39 59.36	<	  1.5
085.7104583	 -8.6660389	05 42 50.51	-08 39 57.74	 	 18.8
085.7187917	 -8.6546500	05 42 52.51	-08 39 16.74	 	 34.4
085.3442083	 -8.6545333	05 41 22.61	-08 39 16.32	 	 31.4
085.3456250	 -8.6530500	05 41 22.95	-08 39 10.98	 	108.9
085.7663333	 -8.6526222	05 43 03.92	-08 39 09.44	 	  6.0
085.7082917	 -8.6508000	05 42 49.99	-08 39 02.88	 	  4.1
085.7142500	 -8.6505333	05 42 51.42	-08 39 01.92	 	  1.5
085.7169583	 -8.6498778	05 42 52.07	-08 38 59.56	<	  1.6
085.6549167	 -8.6463389	05 42 37.18	-08 38 46.82	<	  1.5
085.7029167	 -8.6419278	05 42 48.70	-08 38 30.94	 	 57.9
085.7104167	 -8.6415222	05 42 50.50	-08 38 29.48	 	 13.1
085.5228750	 -8.6412333	05 42 05.49	-08 38 28.44	 	  1.6
085.7072917	 -8.6405500	05 42 49.75	-08 38 25.98	 	  8.0
085.7414167	 -8.6403278	05 42 57.94	-08 38 25.18	<	  1.4
085.6974583	 -8.6358056	05 42 47.39	-08 38 08.90	 	 49.1
085.6978750	 -8.6344778	05 42 47.49	-08 38 04.12	 	 10.7
085.7347917	 -8.6296333	05 42 56.35	-08 37 46.68	<	  1.3
085.4737917	 -8.6287000	05 41 53.71	-08 37 43.32	 	  1.6
085.7433750	 -8.6281222	05 42 58.41	-08 37 41.24	 	  2.2
085.7931250	 -8.6244000	05 43 10.35	-08 37 27.84	 	  2.2
085.4267500	 -8.6185556	05 41 42.42	-08 37 06.80	 	148.2
085.7277917	 -8.6179889	05 42 54.67	-08 37 04.76	<	  1.5
085.3132917	 -8.6180111	05 41 15.19	-08 37 04.84	<	  1.5
086.1813333	 -8.6149111	05 44 43.52	-08 36 53.68	 	  4.1
085.3633750	 -8.6127944	05 41 27.21	-08 36 46.06	 	  9.5
085.7609583	 -8.5968944	05 43 02.63	-08 35 48.82	 	 16.0
085.3949583	 -8.5897722	05 41 34.79	-08 35 23.18	 	  2.5
085.7095000	 -8.5772056	05 42 50.28	-08 34 37.94	 	 39.7
085.9292083	 -8.5750278	05 43 43.01	-08 34 30.10	 	  3.6
085.9317917	 -8.5712556	05 43 43.63	-08 34 16.52	 	 16.9
085.7948333	 -8.5654000	05 43 10.76	-08 33 55.44	 	  4.8
085.6877917	 -8.5602222	05 42 45.07	-08 33 36.80	 	  2.4
085.3545833	 -8.5600389	05 41 25.10	-08 33 36.14	 	  5.1
085.3439583	 -8.5577389	05 41 22.55	-08 33 27.86	 	  2.8
085.6275417	 -8.5486944	05 42 30.61	-08 32 55.30	 	 60.0
085.8063750	 -8.5168111	05 43 13.53	-08 31 00.52	 	 79.8
085.6640000	 -8.4411889	05 42 39.36	-08 26 28.28	 	  5.7
085.6570833	 -8.4209833	05 42 37.70	-08 25 15.54	 	 15.5
085.8111667	 -8.4184278	05 43 14.68	-08 25 06.34	 	  1.8
085.7372500	 -8.3806611	05 42 56.94	-08 22 50.38	 	  7.8
085.7677500	 -8.3718000	05 43 04.26	-08 22 18.48	 	  1.4
085.4369583	 -8.3585222	05 41 44.87	-08 21 30.68	 	 65.1
085.7132500	 -8.3543444	05 42 51.18	-08 21 15.64	<	  1.2
085.7233333	 -8.3396667	05 42 53.60	-08 20 22.80	 	  2.9
085.9437500	 -8.3144944	05 43 46.50	-08 18 52.18	 	 11.1
085.7382083	 -8.3078722	05 42 57.17	-08 18 28.34	<	  1.7
085.6928750	 -8.3053778	05 42 46.29	-08 18 19.36	 	  2.1
085.7684167	 -8.3030167	05 43 04.42	-08 18 10.86	 	  3.5
085.7391250	 -8.2961889	05 42 57.39	-08 17 46.28	 	  4.6
085.1402500	 -8.2954000	05 40 33.66	-08 17 43.44	 	 31.5
085.7646667	 -8.2913833	05 43 03.52	-08 17 28.98	<	  1.5
085.7059167	 -8.2856556	05 42 49.42	-08 17 08.36	<	  1.4
085.8185833	 -8.2817111	05 43 16.46	-08 16 54.16	<	  1.3
085.6849167	 -8.2797056	05 42 44.38	-08 16 46.94	<	  1.4
085.7690833	 -8.2775889	05 43 04.58	-08 16 39.32	 	  3.0
085.6596250	 -8.2766000	05 42 38.31	-08 16 35.76	<	  1.2
085.6754583	 -8.2542000	05 42 42.11	-08 15 15.12	 	  5.2
085.6083750	 -8.2505333	05 42 26.01	-08 15 01.92	 	  1.5
085.6483333	 -8.2505500	05 42 35.60	-08 15 01.98	 	 20.1
085.6891250	 -8.2382389	05 42 45.39	-08 14 17.66	<	  1.3
085.7083333	 -8.2376611	05 42 50.00	-08 14 15.58	<	  1.4
085.0872083	 -8.2351222	05 40 20.93	-08 14 06.44	 	 12.3
085.8139167	 -8.2279667	05 43 15.34	-08 13 40.68	<	  1.3
085.5594167	 -8.2227000	05 42 14.26	-08 13 21.72	<	  1.3
085.8055417	 -8.2184944	05 43 13.33	-08 13 06.58	<	  1.3
085.3745417	 -8.2168833	05 41 29.89	-08 13 00.78	 	  1.4
085.7396250	 -8.2116889	05 42 57.51	-08 12 42.08	 	  1.3
085.7074583	 -8.2028667	05 42 49.79	-08 12 10.32	 	127.8
085.5335417	 -8.2006833	05 42 08.05	-08 12 02.46	 	  2.7
085.5447917	 -8.1930389	05 42 10.75	-08 11 34.94	<	  1.2
085.7853333	 -8.1923222	05 43 08.48	-08 11 32.36	 	  1.7
085.5215417	 -8.1907056	05 42 05.17	-08 11 26.54	 	  5.5
085.7788333	 -8.1883556	05 43 06.92	-08 11 18.08	<	  1.4
085.1072917	 -8.1879889	05 40 25.75	-08 11 16.76	 	  7.6
085.7589583	 -8.1869222	05 43 02.15	-08 11 12.92	<	  1.3
085.6146250	 -8.1839389	05 42 27.51	-08 11 02.18	<	  1.2
085.6287083	 -8.1791222	05 42 30.89	-08 10 44.84	<	  1.3
085.6915833	 -8.1781889	05 42 45.98	-08 10 41.48	<	  1.2
085.5562917	 -8.1670556	05 42 13.51	-08 10 01.40	 	  7.2
085.6416667	 -8.1665000	05 42 34.00	-08 09 59.40	 	  1.3
085.6059583	 -8.1653833	05 42 25.43	-08 09 55.38	 	  3.8
085.6149583	 -8.1645556	05 42 27.59	-08 09 52.40	 	  6.5
085.6807917	 -8.1631444	05 42 43.39	-08 09 47.32	<	  1.2
085.6374583	 -8.1606500	05 42 32.99	-08 09 38.34	<	  1.2
085.2353333	 -8.1585944	05 40 56.48	-08 09 30.94	<	  1.2
085.6832917	 -8.1574222	05 42 43.99	-08 09 26.72	 	 16.8
085.8274583	 -8.1568278	05 43 18.59	-08 09 24.58	<	  1.2
085.7463750	 -8.1565444	05 42 59.13	-08 09 23.56	 	  8.4
085.5950000	 -8.1563167	05 42 22.80	-08 09 22.74	<	  1.3
085.5983333	 -8.1528333	05 42 23.60	-08 09 10.20	 	  1.6
085.0910000	 -8.1488611	05 40 21.84	-08 08 55.90	 	  4.2
085.7176667	 -8.1483833	05 42 52.24	-08 08 54.18	<	  1.2
085.6074583	 -8.1472333	05 42 25.79	-08 08 50.04	 	  4.7
085.0216667	 -8.1432667	05 40 05.20	-08 08 35.76	 	 48.4
085.1336250	 -8.1418278	05 40 32.07	-08 08 30.58	<	  1.2
085.5898333	 -8.1415889	05 42 21.56	-08 08 29.72	 	 10.0
085.6313750	 -8.1397389	05 42 31.53	-08 08 23.06	 	 18.1
085.3084583	 -8.1326000	05 41 14.03	-08 07 57.36	 	  4.0
085.5429167	 -8.1303500	05 42 10.30	-08 07 49.26	<	  1.1
085.6010000	 -8.1298944	05 42 24.24	-08 07 47.62	<	  1.3
085.5988333	 -8.1301833	05 42 23.72	-08 07 48.66	<	  1.1
085.5567917	 -8.1290167	05 42 13.63	-08 07 44.46	 	  4.2
085.7152500	 -8.1281056	05 42 51.66	-08 07 41.18	 	  3.3
085.1130833	 -8.1268000	05 40 27.14	-08 07 36.48	 	 21.2
085.1840417	 -8.1263778	05 40 44.17	-08 07 34.96	 	 53.5
085.1040417	 -8.1258722	05 40 24.97	-08 07 33.14	 	 78.6
085.1945000	 -8.1202389	05 40 46.68	-08 07 12.86	<	  1.2
085.1876667	 -8.1106556	05 40 45.04	-08 06 38.36	<	  1.4
085.6293333	 -8.1104778	05 42 31.04	-08 06 37.72	<	  1.3
085.6838333	 -8.1073222	05 42 44.12	-08 06 26.36	 	  4.1
085.7567917	 -8.1012167	05 43 01.63	-08 06 04.38	 	  1.2
085.6993333	 -8.1007778	05 42 47.84	-08 06 02.80	<	  1.2
085.2489583	 -8.1005611	05 40 59.75	-08 06 02.02	<	  1.2
