#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-27T20:39:24 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-27T20:39:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/622/A149/tablec1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Otype&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Class&-out=ClassFlag&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36220149
#Name: J/A+A/622/A149
#Title: Vienna survey in Orion. III. (Grossschedl+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/622/a149	    IVOID of underlying data collection
#INFO	creator=Grossschedl J.E.	    First author or institution
#INFO	cites=bibcode:2019A&A...622A.149G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/622/A149	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36220149	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_622_A149_tablec1:
#Name: J/A+A/622/A149/tablec1
#Title: Catalog of YSO candidates and rejected YSOs
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Otype	(a22)	Object Type as given in SIMBAD	[ucd=src.class]
#Column	Jmag	(F7.4)	? J magnitude from VISTA	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.4)	? H magnitude from VISTA	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.4)	? Ks magnitude from VISTA	[ucd=phot.mag;em.IR.K]
#Column	Class	(A4)	YSO classification (9)	[ucd=meta.code.class]
#Column	ClassFlag	(I1)	[1/4] Flag to distinguish between candidates (10)	[ucd=meta.code]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Otype	Jmag	Hmag	Ksmag	Class	ClassFlag	SimbadName
05 32 26.863	-05 16 06.563	                      	14.8370	14.1360	13.8130	D   	2	2MASS J05322687-0516067
05 32 28.302	-05 34 20.883	                      	       	       	       	0   	2	WISE J053228.14-053420.6
05 32 36.614	-04 41 36.258	Flare*                	13.1130	12.4560	11.9390	D   	2	V* V704 Ori
05 32 36.800	-05 09 57.899	*inCl                 	15.1800	13.6180	13.1230	AD  	2	2MASS J05323680-0509579
05 32 37.487	-05 12 41.263	Flare*                	12.4360	11.6910	11.3420	D   	2	V* V383 Ori
05 32 41.646	-05 36 11.485	IR                    	       	18.8990	14.0600	I   	2	VISION J05324165-0536115
05 32 41.652	-05 35 46.130	Maser                 	17.9650	13.7970	11.3890	I   	2	VISION J05324165-0535461
05 32 42.476	-05 35 55.813	YSO                   	       	       	14.9980	I   	1	[MGM2012] 1402
05 32 42.814	-05 35 56.944	IR                    	       	17.0010	14.3570	D   	2	[W2002] IRS 5
05 32 43.312	-05 35 51.866	pMS*                  	       	16.8320	14.1540	D   	1	[MGM2012] 1404
05 32 43.422	-05 35 57.206	pMS*                  	11.8890	10.9020	10.4130	D   	1	[MGM2012] 1401
05 32 43.645	-05 35 53.961	pMS*                  	       	15.2500	13.4810	D   	1	[MGM2012] 1403
05 32 44.011	-06 29 45.608	                      	14.6040	13.9540	13.6610	D   	2	VISION J05324401-0629456
05 32 44.474	-05 33 33.720	pMS*                  	15.6550	13.8210	12.5640	D   	1	[MGM2012] 1455
05 32 44.545	-05 24 15.142	pMS*                  	14.3660	13.7490	13.4580	D   	1	[MGM2012] 1784
05 32 45.990	-05 35 10.330	pMS*                  	       	18.0550	15.2550	D   	1	[MGM2012] 1419
05 32 46.740	-05 58 02.027	Orion_V*              	12.2240	11.4010	11.0530	AD  	1	[MGM2012] 1099
05 32 47.314	-05 39 42.649	Flare*                	12.3620	11.6300	11.4320	D   	1	[MGM2012] 1330
05 32 47.916	-06 29 31.756	                      	13.6900	13.1250	12.8530	D   	2	2MASS J05324791-0629319
05 32 48.126	-05 34 40.447	YSO                   	       	       	17.1660	I   	1	[MGM2012] 1434
05 32 48.611	-05 34 51.788	pMS*                  	15.0980	13.3590	12.4790	D   	1	[MGM2012] 1429
05 32 48.817	-05 30 54.345	pMS*                  	13.5790	12.2690	11.5340	D   	1	[MGM2012] 1527
05 32 49.927	-06 10 45.617	pMS*                  	14.0520	13.2790	12.8920	D   	1	[MGM2012] 1022
05 32 50.560	-05 34 42.402	YSO                   	19.4860	15.9580	16.0660	I   	1	[MGM2012] 1433
05 32 51.264	-03 40 36.397	                      	13.4920	12.9250	12.6340	D   	2	2MASS J05325126-0340363
05 32 51.898	-05 35 25.695	pMS*                  	15.0700	13.6500	12.8630	D   	1	[MGM2012] 1411
05 32 54.297	-05 37 15.032	YSO                   	19.8080	18.0650	16.5860	UG  	4	[MGM2012] 1369
05 32 55.701	-05 10 28.679	pMS*                  	16.6740	15.0180	12.8510	D   	1	[MGM2012] 2280
05 32 55.775	-05 37 02.172	pMS*                  	12.9180	12.2980	11.9920	D   	1	[MGM2012] 1376
05 32 56.206	-04 57 07.323	pMS*                  	13.5270	12.8960	12.6220	D   	1	[MGM2012] 2488
05 32 56.904	-05 12 47.678	Flare*                	12.5750	11.6190	11.1500	D   	1	WISE J053256.90-051247.6
05 32 57.083	-04 33 59.374	pMS*                  	 7.5010	 7.5620	 7.5280	TD  	1	[MGM2012] 2740
05 32 59.250	-05 24 26.038	Flare*                	12.2000	11.4460	11.2100	TD  	1	[MGM2012] 1776
05 32 59.511	-03 58 12.835	                      	14.3180	13.7190	13.4080	TD  	2	VISION J05325951-0358128
05 33 01.755	-04 49 18.445	Orion_V*              	13.3140	12.3790	11.5980	D   	1	[MGM2012] 2607
05 33 02.238	-05 26 25.151	Orion_V*              	10.3610	 9.6980	 9.2330	D   	1	[MGM2012] 1688
05 33 02.290	-05 42 31.066	pMS*                  	14.5780	13.9820	13.5740	D   	1	[MGM2012] 1271
05 33 03.248	-05 45 40.117	pMS*                  	13.9320	13.0890	12.7790	D   	1	[MGM2012] 1225
05 33 03.594	-04 58 55.761	pMS*                  	14.3110	13.6470	13.3590	D   	1	[MGM2012] 2467
05 33 05.240	-04 38 58.685	pMS*                  	15.7670	14.7310	14.3210	D   	1	[MGM2012] 2715
05 33 06.227	-04 58 35.869	pMS*                  	14.1850	13.5740	13.3090	D   	1	[MGM2012] 2475
05 33 06.550	-06 43 32.930	Em*                   	12.4220	11.7850	11.4870	D   	2	Kiso A-0975 180
05 33 07.607	-04 28 57.195	pMS*                  	16.7730	15.7020	15.0020	D   	1	[MGM2012] 2757
05 33 09.860	-04 59 48.248	pMS*                  	14.3430	13.7880	13.4410	D   	1	[MGM2012] 2459
05 33 10.524	-05 42 24.447	Flare*                	11.8150	11.0320	10.7220	D   	1	[MGM2012] 1276
05 33 11.093	-04 28 55.241	                      	13.9500	13.3260	13.0460	AD  	2	2MASS J05331109-0428553
05 33 13.238	-04 16 50.683	pMS*                  	14.8840	14.1170	13.3700	D   	1	[MGM2012] 2793
05 33 14.920	-05 30 33.439	pMS*                  	12.6990	12.0550	11.7810	TD  	1	[MGM2012] 1536
05 33 17.272	-04 55 41.762	pMS*                  	14.4740	13.9020	13.6180	TD  	1	[MGM2012] 2509
05 33 18.135	-04 22 43.187	pMS*                  	12.9280	12.3090	11.9970	D   	1	[MGM2012] 2775
05 33 18.157	-06 22 02.501	pMS*                  	15.3350	14.5420	14.0650	D   	1	[MGM2012] 947
05 39 17.108	-07 24 24.996	                      	       	       	       	0   	1	HOPS 395
05 33 18.378	-06 52 16.281	                      	13.6160	12.9710	12.6910	AD  	2	2MASS J05331839-0652162
05 33 19.805	-06 04 23.226	Flare*                	12.7220	12.0400	11.7650	TD  	1	[MGM2012] 1057
05 33 19.896	-06 22 05.765	pMS*                  	15.1430	14.5670	14.2490	D   	1	[MGM2012] 946
05 33 20.984	-06 22 33.344	Flare*                	12.5830	11.6540	11.0160	D   	1	[MGM2012] 935
05 33 21.366	-05 21 34.689	Orion_V*              	11.2530	10.3320	 9.7690	D   	1	[MGM2012] 1934
05 33 22.489	-05 23 03.109	Orion_V*              	13.1150	12.4150	12.1360	TD  	1	HOPS 54
05 33 24.807	-04 54 11.242	pMS*                  	15.3490	13.7760	12.9730	D   	1	[MGM2012] 2526
05 33 25.103	-04 03 30.178	Flare*                	12.1650	11.4430	11.1460	D   	1	[MGM2012] 2812
05 33 25.533	-06 06 34.440	pMS*                  	12.9190	11.8370	11.0330	D   	1	[MGM2012] 1043
05 33 25.920	-05 12 02.726	YSO                   	16.4720	15.2640	14.0620	G   	3	HOPS 61
05 33 26.819	-05 07 13.327	pMS*                  	17.4730	16.4080	15.9290	F   	1	[MGM2012] 2344
05 33 27.927	-05 14 00.651	pMS*                  	17.4200	17.1770	16.2560	UF  	4	[MGM2012] 2217
05 33 28.086	-05 55 59.978	pMS*                  	17.1650	15.9510	15.1330	G   	3	[MGM2012] 1120
05 33 28.519	-05 17 26.249	Flare*                	11.9190	11.1430	10.7990	D   	1	[MGM2012] 2117
05 33 30.693	-05 02 14.844	Flare*                	12.5560	11.7760	11.4480	TD  	1	[MGM2012] 2422
05 33 30.713	-05 50 41.110	YSO                   	       	       	17.8240	I   	1	HOPS 20
05 33 30.759	-05 13 52.005	pMS*                  	13.1450	12.4480	12.1570	TD  	1	[MGM2012] 2224
05 33 31.054	-03 17 21.309	                      	12.8210	12.0610	11.7900	D   	2	2MASS J05333105-0317213
05 33 31.201	-05 29 57.622	pMS*                  	13.4400	12.7700	12.4730	TD  	1	[MGM2012] 1558
05 33 31.488	-06 09 54.157	pMS*                  	12.7520	11.9940	11.6390	D   	1	WISE J053331.49-060954.1
05 33 32.524	-06 29 44.174	YSO                   	17.2440	13.0860	10.3670	I   	2	NAME HH 83 IRS
05 33 32.545	-05 31 55.252	pMS*                  	14.9440	14.1680	13.6870	D   	1	[MGM2012] 1498
05 33 33.018	-06 18 37.556	Orion_V*              	12.5480	10.9380	10.4800	F   	1	[MGM2012] 975
05 33 33.047	-05 11 55.485	Orion_V*              	12.5740	11.7660	11.3500	D   	1	[MGM2012] 2258
05 33 33.901	-05 33 26.427	Flare*                	12.2070	11.3640	10.9600	D   	1	[MGM2012] 1459
05 33 34.255	-04 43 45.785	Orion_V*              	11.4180	10.5850	10.1220	D   	1	WISE J053334.25-044345.7
05 33 34.297	-04 44 18.066	Orion_V*              	11.4290	10.7550	10.5190	AD  	1	[MGM2012] 2674
05 33 34.395	-06 13 52.654	pMS*                  	12.7170	11.9830	11.7930	TD  	1	[MGM2012] 1004
05 33 34.374	-06 04 19.994	pMS*                  	14.9170	14.3660	14.0420	D   	1	[MGM2012] 1058
05 33 34.434	-05 14 17.724	pMS*                  	12.4840	11.7340	11.3590	D   	1	[MGM2012] 2211
05 33 35.888	-05 01 32.469	Orion_V*              	11.7210	10.8930	10.3830	D   	1	[MGM2012] 2432
05 33 37.437	-04 10 15.918	pMS*                  	13.2850	12.5940	12.3030	D   	1	[MGM2012] 2804
05 33 38.561	-05 13 12.415	pMS*                  	12.8050	12.0610	11.7720	D   	1	[MGM2012] 2238
05 33 39.152	-05 56 41.740	pMS*                  	15.0690	14.3970	14.0430	D   	1	[MGM2012] 1112
05 33 39.766	-06 06 03.076	pMS*                  	13.3610	12.7600	12.4560	D   	1	[MGM2012] 1048
05 33 41.604	-06 06 07.362	Orion_V*              	14.9190	13.5380	13.5820	D   	1	[MGM2012] 1047
05 33 41.674	-05 24 04.244	pMS*                  	12.5970	11.8090	11.5840	D   	1	[MGM2012] 1792
05 33 41.924	-05 06 14.645	pMS*                  	14.7640	14.1760	13.8530	D   	1	[MGM2012] 2360
05 33 41.942	-06 15 48.800	Orion_V*              	13.9170	13.2160	12.8450	D   	1	[MGM2012] 989
05 33 43.192	-04 47 14.212	pMS*                  	13.3480	12.5870	12.0490	D   	1	[MGM2012] 2642
05 33 43.932	-06 13 46.258	YSO                   	16.5680	15.5770	14.7640	D   	1	HOPS 202
05 33 43.952	-05 57 16.573	pMS*                  	14.9060	14.3400	13.9020	D   	1	[MGM2012] 1106
05 33 44.792	-05 14 09.866	Flare*                	10.7500	10.0050	 9.6500	D   	1	[MGM2012] 2215
05 33 45.162	-06 13 59.859	Flare*                	13.1860	12.5190	12.3110	D   	2	V* V545 Ori
05 33 45.257	-05 30 49.863	Orion_V*              	10.2630	 9.2600	 8.6060	D   	1	[MGM2012] 1528
05 33 45.266	-05 41 24.744	Candidate_YSO         	18.3760	17.0480	15.7900	UF  	4	[MGM2012] 1298
05 33 45.378	-06 04 25.366	Orion_V*              	11.4820	10.7540	10.3250	D   	1	WISE J053345.39-060425.7
05 33 45.410	-04 35 27.677	Orion_V*              	16.8940	15.2770	14.9550	D   	1	[MGM2012] 2731
05 33 45.453	-05 36 32.345	Flare*                	12.0780	11.3520	10.9980	D   	1	[MGM2012] 1389
05 33 45.575	-05 00 46.073	pMS*                  	13.9010	13.2810	12.9590	D   	1	[MGM2012] 2443
05 33 45.875	-05 32 58.127	Orion_V*              	15.3470	14.1300	12.6280	F   	1	HOPS 47
05 33 46.479	-05 57 12.654	pMS*                  	10.2870	10.4990	 9.2010	D   	1	[MGM2012] 1107
05 33 46.684	-05 23 25.594	Orion_V*              	14.0010	12.5470	11.2180	D   	1	WISE J053346.68-052325.5
05 33 47.651	-05 25 48.564	Orion_V*              	12.5710	11.9010	11.5260	AD  	2	V* V1898 Ori
05 33 47.704	-04 52 08.475	Flare*                	11.6390	11.0320	10.7270	AD  	2	V* V731 Ori
05 33 47.970	-05 27 38.417	pMS*                  	14.4080	13.5180	13.0460	D   	1	[MGM2012] 1638
05 33 48.218	-05 13 26.194	Orion_V*              	12.9880	12.1750	11.8750	D   	1	[MGM2012] 2235
05 33 48.279	-05 27 05.269	pMS*                  	16.4550	15.2990	14.2230	UF  	4	[MGM2012] 1654
05 33 49.539	-05 36 20.825	Orion_V*              	12.3680	11.3240	10.7140	D   	1	[MGM2012] 1394
05 33 50.296	-06 21 48.941	Orion_V*              	13.7080	12.7920	12.1160	D   	1	[MGM2012] 951
05 33 50.273	-04 38 34.166	Orion_V*              	11.2120	10.5250	10.2870	TD  	1	[MGM2012] 2717
05 33 50.739	-05 00 39.441	Orion_V*              	13.2000	12.4560	12.8540	TD  	1	[MGM2012] 2444
05 33 51.316	-05 23 16.436	Orion_V*              	12.6630	10.7210	 9.5130	D   	1	[MGM2012] 1844
05 33 51.348	-04 48 22.186	Orion_V*              	12.4790	11.6100	11.2690	D   	1	[MGM2012] 2622
05 34 07.872	-05 40 40.471	YSO                   	       	       	       	fuzz	3	[MGM2012] 1313
05 33 51.792	-05 33 03.571	Orion_V*              	15.4920	13.6210	11.9930	D   	1	WISE J053351.79-053303.5
05 33 52.363	-05 41 50.182	Orion_V*              	11.7170	10.9050	10.5630	D   	1	[MGM2012] 1291
05 33 54.093	-05 21 49.527	pMS*                  	       	       	       	fuzz	3	HOPS 55
05 33 54.377	-05 45 12.676	Orion_V*              	13.9440	12.9540	12.7310	D   	1	[MGM2012] 1231
05 33 54.501	-05 32 00.322	pMS*                  	13.4080	11.6650	10.8890	TD  	1	[MGM2012] 1495
05 33 54.597	-06 21 18.730	pMS*                  	13.5570	12.9630	12.6800	AD  	1	[MGM2012] 958
05 33 54.756	-04 16 27.224	Flare*                	11.1930	10.5380	10.3240	TD  	1	[MGM2012] 2795
05 33 54.940	-04 38 20.132	pMS*                  	13.7250	13.0220	12.6510	D   	1	[MGM2012] 2719
05 33 55.520	-05 25 57.572	Orion_V*              	12.9880	11.7010	11.0630	D   	1	[MGM2012] 1707
05 33 55.800	-04 47 49.692	Orion_V*              	12.7230	11.9930	11.0980	D   	1	WISE J053355.80-044749.4
05 33 56.009	-05 20 40.654	YSO                   	       	       	       	fuzz	3	[MGM2012] 1983
05 33 56.331	-05 55 30.334	pMS*                  	15.7000	15.0090	14.5060	AD  	1	[MGM2012] 1129
05 33 56.387	-04 35 29.887	pMS*                  	13.7310	13.0950	12.8150	D   	1	[MGM2012] 2730
05 33 56.568	-05 39 04.402	pMS*                  	13.7160	13.0500	12.8040	AD  	1	[MGM2012] 1338
05 33 57.328	-04 59 15.712	Orion_V*              	12.9810	12.3040	11.9200	D   	1	[MGM2012] 2464
05 33 57.324	-05 23 29.484	YSO                   	       	17.9860	       	0   	1	HOPS 53
05 33 57.557	-06 40 05.468	pMS*                  	14.1630	13.6160	13.2550	D   	1	[MGM2012] 814
05 33 57.950	-06 46 29.729	                      	12.6060	11.9470	11.7000	AD  	2	VISION J05335795-0646297
05 33 58.159	-04 36 24.662	pMS*                  	14.2760	13.4600	13.0880	TD  	1	[MGM2012] 2725
05 33 58.587	-05 36 34.297	pMS*                  	14.9000	14.3240	14.0290	D   	1	[MGM2012] 1388
05 33 59.241	-05 46 23.175	Orion_V*              	14.7080	12.6520	11.9210	D   	1	[MGM2012] 1217
05 33 59.459	-06 21 18.282	pMS*                  	13.6350	13.0170	12.7440	AD  	1	[MGM2012] 959
05 34 00.175	-05 09 14.210	pMS*                  	15.9600	15.2630	14.7130	AD  	1	[MGM2012] 2308
05 34 00.344	-05 35 43.436	pMS*                  	12.0200	11.2980	11.1720	TD  	1	[MGM2012] 1405
05 34 01.088	-06 02 26.811	Orion_V*              	12.0630	11.3620	11.1390	D   	1	[MGM2012] 1069
05 34 01.478	-04 37 18.989	pMS*                  	15.6950	15.0910	14.7280	D   	1	[MGM2012] 2722
05 34 02.028	-04 44 53.577	pMS*                  	13.0750	12.4060	12.1080	D   	1	[MGM2012] 2668
05 34 02.175	-05 36 19.500	Flare*                	10.8300	 9.9390	 9.5510	D   	1	[MGM2012] 1395
05 34 02.492	-06 04 30.898	Orion_V*              	14.8750	13.6640	13.0570	AD  	1	[MGM2012] 1055
05 34 02.676	-05 33 03.004	pMS*                  	14.4010	13.7730	13.4250	D   	1	[MGM2012] 1471
05 34 03.002	-05 36 57.261	Orion_V*              	10.3800	 9.5140	 9.0870	TD  	1	[MGM2012] 1380
05 34 03.838	-04 36 06.198	pMS*                  	12.7070	11.9990	11.7850	TD  	1	[MGM2012] 2727
05 34 04.464	-06 31 37.866	Orion_V*              	13.9830	13.0430	12.7710	AD  	1	[MGM2012] 856
05 34 04.628	-05 22 22.584	pMS*                  	12.6580	11.5870	11.1390	D   	1	WISE J053404.62-052222.8
05 34 04.695	-04 51 31.079	pMS*                  	14.8830	14.2070	13.8390	AD  	1	[MGM2012] 2570
05 34 04.708	-04 50 49.678	pMS*                  	13.9420	13.2890	12.9830	D   	1	[MGM2012] 2581
05 34 04.851	-05 24 45.483	YSO                   	       	       	       	fuzz	3	[MGM2012] 1760
05 34 04.945	-06 23 46.933	Orion_V*              	13.0910	12.4330	12.1830	AD  	1	[MGM2012] 910
05 34 05.024	-04 40 03.408	pMS*                  	13.8110	13.1450	12.8760	D   	1	[MGM2012] 2708
05 34 05.955	-05 22 43.575	Orion_V*              	12.5680	11.2110	10.3900	D   	1	[MGM2012] 1883
05 34 05.988	-06 06 11.693	Orion_V*              	13.9860	13.3990	13.1470	D   	1	[MGM2012] 1045
05 34 06.234	-06 30 45.039	Flare*                	11.5910	10.8410	10.5870	TD  	1	[MGM2012] 859
05 34 06.954	-06 32 07.861	Orion_V*              	13.2950	12.5520	12.3050	D   	1	HOPS 201
05 34 07.315	-05 13 45.450	Flare*                	11.1710	10.3810	 9.9690	TD  	1	[MGM2012] 2225
05 34 07.779	-05 55 47.121	pMS*                  	12.1570	11.4210	11.2620	TD  	1	[MGM2012] 1123
05 34 07.931	-06 12 33.903	pMS*                  	14.2650	13.6430	13.3950	D   	1	[MGM2012] 1010
05 34 07.971	-05 36 17.070	Orion_V*              	12.5970	11.8330	11.2760	D   	1	[MGM2012] 1398
05 34 08.343	-06 51 56.550	                      	14.2210	13.5490	13.1900	D   	2	2MASS J05340834-0651565
05 34 08.306	-04 48 28.251	                      	15.5330	14.9380	14.5140	AD  	2	VISION J05340831-0448283
05 34 10.358	-05 19 39.172	pMS*                  	15.3320	14.5620	14.0510	D   	1	[MGM2012] 2032
05 34 10.474	-04 50 35.148	Orion_V*              	10.9860	10.2800	 9.9470	D   	1	[MGM2012] 2584
05 34 10.465	-04 50 27.463	pMS*                  	13.5000	12.7720	12.5350	D   	1	[MGM2012] 2586
05 34 11.142	-04 30 53.711	pMS*                  	14.2820	13.6730	13.3690	D   	1	[MGM2012] 2751
05 34 11.387	-04 51 22.956	Orion_V*              	12.3490	11.4990	11.0810	D   	1	[MGM2012] 2571
05 34 11.405	-05 05 26.385	pMS*                  	16.1020	15.4540	14.9070	D   	1	[MGM2012] 2374
05 34 11.505	-05 30 19.840	pMS*                  	13.5270	12.8360	12.4300	III 	3	[MGM2012] 1546
05 34 11.599	-05 55 21.928	Orion_V*              	12.2620	11.5280	11.1410	TD  	1	[MGM2012] 1137
05 34 11.661	-05 56 47.197	pMS*                  	14.9920	14.3730	14.0530	AD  	1	[MGM2012] 1111
05 34 11.889	-05 06 16.092	pMS*                  	14.5370	13.9200	13.5640	D   	1	[MGM2012] 2358
05 34 12.211	-04 50 07.203	Orion_V*              	14.1940	12.9850	12.2960	TD  	1	HOPS 103
05 34 12.628	-04 50 24.719	Orion_V*              	10.4980	 9.6790	 9.2800	TD  	1	[MGM2012] 2587
05 34 12.635	-06 03 58.745	pMS*                  	15.9380	15.3080	14.8580	D   	1	[MGM2012] 1061
05 34 12.735	-06 34 26.193	pMS*                  	       	18.6880	17.5000	fuzz	3	[MGM2012] 843
05 34 12.889	-05 28 48.219	pMS*                  	12.0890	11.3900	11.2220	TD  	1	[MGM2012] 1589
