#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-24T00:34:21 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-24T00:34:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/875/L9/table1&-order=I&-out=SSTc2d&-out=RAdeg&-out=DEdeg&Gaia=Gaia&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18759009
#Name: J/ApJ/875/L9
#Title: ODISEA: Disk dust mass distributions (Williams+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/875/l9	    IVOID of underlying data collection
#INFO	creator=Williams J.P.	    First author or institution
#INFO	cites=bibcode:2019ApJ...875L...9W	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/875/L9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18759009	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_875_L9_table1:
#Name: J/ApJ/875/L9/table1
#Title: Disk distances and flux densities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	SSTc2d	(A16)	Spitzer source name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAdeg	(F9.5)	[245/250]? Right Ascension of ALMA source (J2000)	[ucd=pos.eq.ra]
#Column	DEdeg	(F9.5)	[-25.5/-22.9]? Declination of ALMA source (J2000)	[ucd=pos.eq.dec]
#Column	SimbadName	(A23)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	SSTc2d	RAdeg	DEdeg	SimbadName
246.056250	-24.306111	J162413.5-241822	246.05608	-24.30629	SSTc2d J162413.4-241822
246.066250	-24.187500	J162415.9-241115	246.06632	-24.18763	SSTc2d J162415.9-241115
246.146667	-24.438889	J162435.2-242620	246.14664	-24.43893	SSTc2d J162435.2-242620
246.217917	-25.024167	J162452.3-250127	246.21786	-25.02422	SSTc2d J162452.3-250127
246.220833	-25.098889	J162453.0-250556	246.22200	-25.09976	SSTc2d J162453.0-250556
246.249167	-24.933611	J162459.8-245601	246.24913	-24.93366	SSTc2d J162459.8-245601
246.258750	-24.992222	J162502.1-245932	246.25838	-24.99251	SSTc2d J162502.1-245932
246.258750	-24.992222	J162502.1-245932	246.25883	-24.99245	SSTc2d J162502.1-245932
246.275833	-24.782500	J162506.2-244657	246.27597	-24.78266	SSTc2d J162506.2-244657
246.278750	-23.847222	J162506.9-235050	246.27878	-23.84745	SSTc2d J162506.9-235050
246.342083	-24.297500	J162522.1-241751	         	         	SSTc2d J162522.1-241751
246.344167	-24.581389	J162522.6-243453	246.34416	-24.58161	SSTc2d J162522.6-243453
246.351250	-24.495556	J162524.3-242944	246.35143	-24.49579	SSTc2d J162524.3-242944
246.357083	-24.618889	J162525.7-243708	         	         	SSTc2d J162525.7-243708
246.365000	-24.613333	J162527.6-243648	         	         	SSTc2d J162527.6-243648
246.385417	-23.440556	J162532.5-232626	246.38556	-23.44078	SSTc2d J162532.5-232626
246.388333	-23.425000	J162533.2-232530	246.38817	-23.42527	SSTc2d J162533.2-232530
246.397917	-24.536111	J162535.5-243210	         	         	SSTc2d J162535.5-243210
246.402917	-24.261667	J162536.7-241542	246.40305	-24.26194	SSTc2d J162536.7-241542
246.408750	-24.376667	J162538.1-242236	246.40891	-24.37732	SSTc2d J162538.1-242236
246.408750	-24.376667	J162538.1-242236	246.40880	-24.37697	SSTc2d J162538.1-242236
246.414167	-23.445000	J162539.4-232642	246.41427	-23.44507	SSTc2d J162539.4-232642
246.415000	-24.443056	J162539.6-242635	         	         	SSTc2d J162539.6-242635
246.428750	-23.423889	J162542.9-232526	246.42868	-23.42404	SSTc2d J162542.9-232526
246.444167	-24.393333	J162546.6-242336	246.44430	-24.39348	SSTc2d J162546.6-242336
246.483750	-24.346667	J162556.1-242048	246.48397	-24.34685	SSTc2d J162556.1-242048
246.505833	-24.422222	J162601.4-242520	         	         	SSTc2d J162601.4-242520
246.512500	-24.393333	J162603.0-242336	         	         	SSTc2d J162603.0-242336
246.519167	-24.297500	J162604.6-241751	246.51902	-24.29779	SSTc2d J162604.6-241751
246.529167	-24.456667	J162607.0-242724	246.52931	-24.45684	SSTc2d J162607.0-242724
246.541250	-24.565000	J162609.9-243354	         	         	SSTc2d J162609.9-243354
246.542917	-24.348611	J162610.3-242055	246.54303	-24.34868	SSTc2d J162610.3-242055
246.570000	-24.373056	J162616.8-242223	246.57020	-24.37323	SSTc2d J162616.8-242223
246.571250	-24.339167	J162617.1-242021	246.57111	-24.33946	SSTc2d J162617.1-242021
246.571667	-24.395833	J162617.2-242345	246.57180	-24.39605	SSTc2d J162617.2-242345
246.575417	-24.509167	J162618.1-243033	         	         	SSTc2d J162618.1-243033
246.577500	-24.497500	J162618.6-242951	246.57738	-24.49771	SSTc2d J162618.6-242951
246.578333	-24.436111	J162618.8-242610	246.57842	-24.43637	SSTc2d J162618.8-242610
246.578750	-24.472222	J162618.9-242820	246.57861	-24.47226	SSTc2d J162618.9-242820
246.579167	-24.403889	J162619.0-242414	246.57909	-24.40408	SSTc2d J162619.0-242414
246.581250	-24.624167	J162619.5-243727	246.58127	-24.62387	SSTc2d J162619.5-243727
246.586667	-24.477500	J162620.8-242839	246.58680	-24.47778	SSTc2d J162620.8-242839
246.587500	-24.146389	J162621.0-240847	246.58736	-24.14647	SSTc2d J162621.0-240847
246.589583	-24.433611	J162621.5-242601	246.58971	-24.43374	SSTc2d J162621.5-242601
246.591250	-24.744444	J162621.9-244440	246.59122	-24.74452	SSTc2d J162621.9-244440
246.592917	-24.401944	J162622.3-242407	         	         	SSTc2d J162622.3-242407
246.595417	-24.479444	J162622.9-242846	         	         	SSTc2d J162622.9-242846
246.597500	-24.350278	J162623.4-242101	246.59762	-24.35049	SSTc2d J162623.4-242101
246.597500	-24.350278	J162623.4-242101	246.59733	-24.35000	SSTc2d J162623.4-242101
246.598333	-24.410833	J162623.6-242439	246.59823	-24.41111	SSTc2d J162623.6-242439
246.598750	-24.720556	J162623.7-244314	246.59867	-24.72065	SSTc2d J162623.7-244314
246.599167	-24.308056	J162623.8-241829	         	         	SSTc2d J162623.8-241829
246.600000	-24.413333	J162624.0-242448	246.60016	-24.41348	SSTc2d J162624.0-242448
246.600417	-24.270278	J162624.1-241613	246.60032	-24.27052	SSTc2d J162624.1-241613
246.606250	-24.383611	J162625.5-242301	246.60614	-24.38385	SSTc2d J162625.5-242301
246.614583	-24.698333	J162627.5-244154	246.61474	-24.69831	SSTc2d J162627.5-244154
246.615833	-24.445000	J162627.8-242642	246.61586	-24.44507	SSTc2d J162627.8-242642
246.626667	-24.382500	J162630.4-242257	246.62689	-24.38271	SSTc2d J162630.4-242257
246.637500	-24.004722	J162633.0-240017	246.63743	-24.00480	SSTc2d J162633.0-240017
246.650833	-24.085833	J162636.2-240509	         	         	SSTc2d J162636.2-240509
246.653333	-24.264444	J162636.8-241552	246.65344	-24.26455	SSTc2d J162636.8-241552
246.654583	-24.266667	J162637.1-241560	246.65345	-24.26455	SSTc2d J162637.1-241560
246.654583	-24.266667	J162637.1-241560	246.65477	-24.26671	SSTc2d J162637.1-241560
246.657500	-24.383611	J162637.8-242301	246.65744	-24.38365	SSTc2d J162637.8-242301
246.657500	-24.650833	J162637.8-243903	246.65755	-24.65098	SSTc2d J162637.8-243903
246.668750	-24.453889	J162640.5-242714	246.66862	-24.45416	SSTc2d J162640.5-242714
246.670000	-24.514167	J162640.8-243051	246.67014	-24.51427	SSTc2d J162640.8-243051
246.671667	-24.671667	J162641.2-244018	         	         	SSTc2d J162641.2-244018
246.675417	-24.517500	J162642.1-243103	246.67558	-24.51760	SSTc2d J162642.1-243103
246.678750	-24.341667	J162642.9-242030	246.67892	-24.34166	SSTc2d J162642.9-242030
246.678750	-24.341667	J162642.9-242030	246.67850	-24.34179	SSTc2d J162642.9-242030
246.687500	-24.385556	J162645.0-242308	246.68759	-24.38563	SSTc2d J162645.0-242308
246.693333	-24.200000	J162646.4-241160	246.69345	-24.20014	SSTc2d J162646.4-241160
246.702083	-24.477500	J162648.5-242839	246.70196	-24.47759	SSTc2d J162648.5-242839
246.702083	-24.477500	J162648.5-242839	246.70158	-24.47647	SSTc2d J162648.5-242839
246.702500	-23.942778	J162648.6-235634	246.70272	-23.94295	SSTc2d J162648.6-235634
246.704167	-24.640278	J162649.0-243825	246.70406	-24.64044	SSTc2d J162649.0-243825
246.716667	-24.510833	J162652.0-243039	246.71651	-24.51112	SSTc2d J162652.0-243039
246.722917	-24.543333	J162653.5-243236	246.72279	-24.54353	SSTc2d J162653.5-243236
246.726250	-24.410556	J162654.3-242438	246.72624	-24.41070	SSTc2d J162654.3-242438
246.726667	-24.439167	J162654.4-242621	246.72683	-24.43925	SSTc2d J162654.4-242621
246.728333	-24.450556	J162654.8-242702	246.72817	-24.45076	SSTc2d J162654.8-242702
246.734583	-24.688889	J162656.3-244120	         	         	SSTc2d J162656.3-244120
246.736667	-24.230833	J162656.8-241351	246.73653	-24.23111	SSTc2d J162656.8-241351
246.738750	-24.594167	J162657.3-243539	246.73904	-24.59412	SSTc2d J162657.3-243539
246.742917	-24.628056	J162658.3-243741	         	         	SSTc2d J162658.3-243741
246.743333	-24.358333	J162658.4-242130	246.74326	-24.35849	SSTc2d J162658.4-242130
246.743333	-24.758889	J162658.4-244532	246.74382	-24.76027	SSTc2d J162658.4-244532
246.744167	-24.309722	J162658.6-241835	246.74433	-24.30980	SSTc2d J162658.6-241835
246.744167	-24.415278	J162658.6-242455	         	         	SSTc2d J162658.6-242455
246.745833	-24.599167	J162659.0-243557	         	         	SSTc2d J162659.0-243557
246.762500	-24.437500	J162703.0-242615	246.76247	-24.43755	SSTc2d J162703.0-242615
246.765000	-24.334722	J162703.6-242005	246.76493	-24.33496	SSTc2d J162703.6-242005
246.767083	-24.475000	J162704.1-242830	246.76716	-24.47522	SSTc2d J162704.1-242830
246.769167	-24.454444	J162704.6-242716	         	         	SSTc2d J162704.6-242716
246.771667	-24.608333	J162705.2-243630	246.77188	-24.60839	SSTc2d J162705.2-243630
246.773750	-24.670278	J162705.7-244013	         	         	SSTc2d J162705.7-244013
246.775000	-24.438333	J162706.0-242618	         	         	SSTc2d J162706.0-242618
246.775000	-24.476667	J162706.0-242836	         	         	SSTc2d J162706.0-242836
246.777500	-24.696944	J162706.6-244149	246.77743	-24.69705	SSTc2d J162706.6-244149
246.778333	-24.637500	J162706.8-243815	246.77819	-24.63764	SSTc2d J162706.8-243815
246.787917	-24.200278	J162709.1-241201	246.78780	-24.20034	SSTc2d J162709.1-241201
246.787917	-24.568889	J162709.1-243408	246.78790	-24.56909	SSTc2d J162709.1-243408
246.788750	-24.672778	J162709.3-244022	246.78893	-24.67304	SSTc2d J162709.3-244022
246.796667	-24.679722	J162711.2-244047	246.79653	-24.67975	SSTc2d J162711.2-244047
246.798750	-24.642222	J162711.7-243832	246.79876	-24.64237	SSTc2d J162711.7-243832
246.800417	-24.580278	J162712.1-243449	246.80049	-24.58050	SSTc2d J162712.1-243449
246.805417	-24.692500	J162713.3-244133	         	         	SSTc2d J162713.3-244133
246.807083	-24.304722	J162713.7-241817	246.80718	-24.30482	SSTc2d J162713.7-241817
246.807500	-24.725556	J162713.8-244332	246.80755	-24.72557	SSTc2d J162713.8-244332
246.810417	-24.446111	J162714.5-242646	246.81037	-24.44626	SSTc2d J162714.5-242646
246.812917	-24.860833	J162715.1-245139	         	         	SSTc2d J162715.1-245139
246.814167	-24.444444	J162715.4-242640	246.81436	-24.44450	SSTc2d J162715.4-242640
246.814167	-24.444444	J162715.4-242640	246.81432	-24.44456	SSTc2d J162715.4-242640
246.814583	-24.515000	J162715.5-243054	         	         	SSTc2d J162715.5-243054
246.816250	-24.420556	J162715.9-242514	246.81615	-24.42070	SSTc2d J162715.9-242514
246.818333	-24.520556	J162716.4-243114	246.81830	-24.52086	SSTc2d J162716.4-243114
246.823333	-24.087222	J162717.6-240514	246.82324	-24.08728	SSTc2d J162717.6-240514
246.823333	-24.482222	J162717.6-242856	246.82325	-24.48245	SSTc2d J162717.6-242856
246.823333	-24.482222	J162717.6-242856	246.82268	-24.48238	SSTc2d J162717.6-242856
246.823333	-24.482222	J162717.6-242856	246.82258	-24.48195	SSTc2d J162717.6-242856
246.826667	-24.654167	J162718.4-243915	246.82655	-24.65423	SSTc2d J162718.4-243915
246.827083	-24.485000	J162718.5-242906	246.82698	-24.48512	SSTc2d J162718.5-242906
246.830000	-24.478889	J162719.2-242844	246.83000	-24.47900	SSTc2d J162719.2-242844
246.839583	-24.695278	J162721.5-244143	246.83940	-24.69543	SSTc2d J162721.5-244143
246.840833	-24.457778	J162721.8-242728	         	         	SSTc2d J162721.8-242728
246.840833	-24.498056	J162721.8-242953	246.84080	-24.49829	SSTc2d J162721.8-242953
246.845833	-24.801944	J162723.0-244807	         	         	SSTc2d J162723.0-244807
246.852500	-24.493056	J162724.6-242935	         	         	SSTc2d J162724.6-242935
246.852500	-24.684167	J162724.6-244103	246.85245	-24.68437	SSTc2d J162724.6-244103
246.859167	-24.323056	J162726.2-241923	246.85927	-24.32322	SSTc2d J162726.2-241923
246.859583	-24.712778	J162726.3-244246	246.85948	-24.71296	SSTc2d J162726.3-244246
246.860833	-24.431667	J162726.6-242554	246.86070	-24.43190	SSTc2d J162726.6-242554
246.864167	-24.521389	J162727.4-243117	         	         	SSTc2d J162727.4-243117
246.868333	-24.455833	J162728.4-242721	246.86851	-24.45603	SSTc2d J162728.4-242721
246.874583	-24.560000	J162729.9-243336	         	         	SSTc2d J162729.9-243336
246.875833	-24.461944	J162730.2-242743	246.87572	-24.46218	SSTc2d J162730.2-242743
246.878333	-24.415556	J162730.8-242456	246.87851	-24.41572	SSTc2d J162730.8-242456
246.878750	-24.459167	J162730.9-242733	         	         	SSTc2d J162730.9-242733
246.883750	-24.495278	J162732.1-242943	246.88387	-24.49561	SSTc2d J162732.1-242943
246.885833	-24.556389	J162732.6-243323	         	         	SSTc2d J162732.6-243323
246.886250	-24.750000	J162732.7-244500	         	         	SSTc2d J162732.7-244500
246.886667	-24.543056	J162732.8-243235	         	         	SSTc2d J162732.8-243235
246.887917	-24.687500	J162733.1-244115	246.88793	-24.68770	SSTc2d J162733.1-244115
246.900833	-24.082778	J162736.2-240458	246.90062	-24.08276	SSTc2d J162736.2-240458
246.902917	-23.974167	J162736.7-235827	         	         	SSTc2d J162736.7-235827
246.905000	-24.710556	J162737.2-244238	246.90517	-24.71068	SSTc2d J162737.2-244238
246.905833	-24.298611	J162737.4-241755	246.90592	-24.29873	SSTc2d J162737.4-241755
246.909583	-23.958889	J162738.3-235732	246.90968	-23.95915	SSTc2d J162738.3-235732
246.909583	-24.616111	J162738.3-243658	246.90964	-24.61639	SSTc2d J162738.3-243658
246.910833	-24.644167	J162738.6-243839	246.91091	-24.64437	SSTc2d J162738.6-243839
246.912083	-24.672222	J162738.9-244020	246.91223	-24.67252	SSTc2d J162738.9-244020
246.912500	-23.971667	J162739.0-235818	246.91252	-23.97199	SSTc2d J162739.0-235818
246.914167	-24.654167	J162739.4-243915	246.91426	-24.65444	SSTc2d J162739.4-243915
246.915833	-24.720833	J162739.8-244315	246.91590	-24.72098	SSTc2d J162739.8-244315
246.915833	-24.720833	J162739.8-244315	246.91600	-24.72053	SSTc2d J162739.8-244315
246.917083	-24.443333	J162740.1-242636	         	         	SSTc2d J162740.1-242636
246.917917	-24.367778	J162740.3-242204	246.91780	-24.36776	SSTc2d J162740.3-242204
246.917917	-24.367778	J162740.3-242204	246.91780	-24.36794	SSTc2d J162740.3-242204
246.922917	-24.593889	J162741.5-243538	         	         	SSTc2d J162741.5-243538
246.923333	-24.779167	J162741.6-244645	246.92333	-24.77920	SSTc2d J162741.6-244645
246.923750	-24.726667	J162741.7-244336	246.92391	-24.72681	SSTc2d J162741.7-244336
246.924167	-24.709722	J162741.8-244235	         	         	SSTc2d J162741.8-244235
246.927917	-24.647500	J162742.7-243851	         	         	SSTc2d J162742.7-243851
246.932500	-24.718889	J162743.8-244308	         	         	SSTc2d J162743.8-244308
246.937500	-24.107778	J162745.0-240628	246.93742	-24.10806	SSTc2d J162745.0-240628
246.940833	-24.748333	J162745.8-244454	         	         	SSTc2d J162745.8-244454
246.942917	-24.528056	J162746.3-243141	         	         	SSTc2d J162746.3-243141
246.946250	-24.759722	J162747.1-244535	246.94618	-24.75985	SSTc2d J162747.1-244535
246.950833	-24.706944	J162748.2-244225	246.95096	-24.70724	SSTc2d J162748.2-244225
246.955417	-24.414444	J162749.3-242452	         	         	SSTc2d J162749.3-242452
246.957500	-24.422778	J162749.8-242522	246.95741	-24.42285	SSTc2d J162749.8-242522
246.965833	-24.529167	J162751.8-243145	246.96579	-24.52946	SSTc2d J162751.8-243145
246.980000	-24.037500	J162755.2-240215	246.98012	-24.03773	SSTc2d J162755.2-240215
246.980000	-24.477500	J162755.2-242839	246.98020	-24.47782	SSTc2d J162755.2-242839
246.981667	-24.438333	J162755.6-242618	246.98153	-24.43847	SSTc2d J162755.6-242618
246.995417	-24.587500	J162758.9-243515	         	         	SSTc2d J162758.9-243515
247.010833	-23.917778	J162802.6-235504	         	         	SSTc2d J162802.6-235504
247.018750	-24.580000	J162804.5-243448	         	         	SSTc2d J162804.5-243448
247.020000	-24.619444	J162804.8-243710	         	         	SSTc2d J162804.8-243710
247.020000	-24.843056	J162804.8-245035	247.01990	-24.84333	SSTc2d J162804.8-245035
247.052917	-24.193333	J162812.7-241136	247.05298	-24.19338	SSTc2d J162812.7-241136
247.057083	-24.527500	J162813.7-243139	247.05704	-24.52765	SSTc2d J162813.7-243139
247.057500	-24.546944	J162813.8-243249	         	         	SSTc2d J162813.8-243249
247.068750	-24.616111	J162816.5-243658	247.06876	-24.61625	SSTc2d J162816.5-243658
247.069583	-24.087222	J162816.7-240514	247.06970	-24.08747	SSTc2d J162816.7-240514
247.073750	-24.284722	J162817.7-241705	247.07391	-24.28489	SSTc2d J162817.7-241705
247.089583	-24.365278	J162821.5-242155	         	         	SSTc2d J162821.5-242155
247.090417	-24.713056	J162821.7-244247	247.09041	-24.71325	SSTc2d J162821.7-244247
247.097083	-24.378056	J162823.3-242241	247.09723	-24.37807	SSTc2d J162823.3-242241
247.136250	-24.379167	J162832.7-242245	247.13628	-24.37927	SSTc2d J162832.7-242245
247.188750	-24.471944	J162845.3-242819	247.18867	-24.47206	SSTc2d J162845.3-242819
247.188750	-24.471944	J162845.3-242819	247.18858	-24.47206	SSTc2d J162845.3-242819
247.195833	-24.470556	J162847.0-242814	247.19596	-24.47063	SSTc2d J162847.0-242814
247.202917	-24.442222	J162848.7-242632	         	         	SSTc2d J162848.7-242632
247.225417	-24.795556	J162854.1-244744	247.22528	-24.79576	SSTc2d J162854.1-244744
247.233333	-23.518611	J162856.0-233107	         	         	SSTc2d J162856.0-233107
247.237083	-24.519444	J162856.9-243110	247.23726	-24.51949	SSTc2d J162856.9-243110
247.241250	-24.681944	J162857.9-244055	247.24111	-24.68206	SSTc2d J162857.9-244055
247.263333	-24.463611	J162903.2-242749	247.26341	-24.46372	SSTc2d J162903.2-242749
247.284167	-24.263056	J162908.2-241547	247.28427	-24.26314	SSTc2d J162908.2-241547
247.396250	-24.602778	J162935.1-243610	         	         	SSTc2d J162935.1-243610
247.434583	-24.689444	J162944.3-244122	         	         	SSTc2d J162944.3-244122
247.451250	-23.517500	J162948.3-233103	         	         	SSTc2d J162948.3-233103
247.477500	-24.979444	J162954.6-245846	         	         	SSTc2d J162954.6-245846
247.582500	-24.048889	J163019.8-240256	         	         	SSTc2d J163019.8-240256
247.583333	-23.518889	J163020.0-233108	         	         	SSTc2d J163020.0-233108
247.597500	-24.904444	J163023.4-245416	247.59748	-24.90461	SSTc2d J163023.4-245416
247.611250	-23.985833	J163026.7-235909	247.61140	-23.98592	SSTc2d J163026.7-235909
247.641250	-24.468333	J163033.9-242806	         	         	SSTc2d J163033.9-242806
247.722917	-24.415000	J163053.5-242454	247.72283	-24.41511	SSTc2d J163053.5-242454
247.760000	-24.145278	J163102.4-240843	         	         	SSTc2d J163102.4-240843
247.771667	-24.077778	J163105.2-240440	247.77150	-24.07799	SSTc2d J163105.2-240440
247.815417	-24.567222	J163115.7-243402	247.81557	-24.56737	SSTc2d J163115.7-243402
247.871667	-24.075278	J163129.2-240431	247.87176	-24.07546	SSTc2d J163129.2-240431
247.878750	-24.411111	J163130.9-242440	247.87928	-24.41043	SSTc2d J163130.9-242440
247.878750	-24.411111	J163130.9-242440	247.87864	-24.41120	SSTc2d J163130.9-242440
247.880000	-24.441111	J163131.2-242628	247.88018	-24.44123	SSTc2d J163131.2-242628
247.889167	-24.460278	J163133.4-242737	247.88943	-24.46036	SSTc2d J163133.4-242737
247.890833	-24.079444	J163133.8-240446	247.89095	-24.07975	SSTc2d J163133.8-240446
247.892083	-24.016667	J163134.1-240060	         	         	SSTc2d J163134.1-240060
247.892917	-24.056944	J163134.3-240325	247.89289	-24.05715	SSTc2d J163134.3-240325
247.898333	-24.024722	J163135.6-240129	247.89857	-24.02499	SSTc2d J163135.6-240129
247.903333	-24.072222	J163136.8-240420	247.90326	-24.07233	SSTc2d J163136.8-240420
