#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:31:22 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:31:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/872/158/table4&-order=I&-out=ALMA&-out=2MASS&-out=Role&-out=Sample&-out=binsep&-out=r_binsep&-out=l_F1.3mm&-out=F1.3mm&-out=e_F1.3mm&-out=r_F1.3mm&-out=SpT&-out=r_SpT&-out=logMstar&-out=e_logMstar&-out=E_logMstar&-out=logLstar&-out=e_logLstar&-out=E_logLstar&-out=l_logMdisk&-out=logMdisk&-out=e_logMdisk&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L10&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720158
#Name: J/ApJ/872/158
#Title: Survey of Class II sources in Taurus with ALMA (Akeson+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/158	    IVOID of underlying data collection
#INFO	creator=Akeson R.L.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..158A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/158	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720158	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_872_158_table4:
#Name: J/ApJ/872/158/table4
#Title: Taurus disk and stellar properties
#Column	ALMA	(A1)	Display the ALMA data for this source (link to Table 2)	[ucd=meta.ref.url]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Role	(I2)	[-9/4]? Role (1)	[ucd=meta.code]
#Column	Sample	(A1)	[YN] In sample?	[ucd=meta.code]
#Column	binsep	(F6.3)	[0.1/17.2]? Binary separation	[ucd=pos.angDistance;src.orbital]
#Column	r_binsep	(I1)	? Binary separation reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	l_F1.3mm	(A1)	Limit on Flux	[ucd=meta.code.error]
#Column	F1.3mm	(F6.2)	[0.16/344.2] Flux at 1.3mm	[ucd=phot.flux.density;em.mm.200-400GHz]
#Column	e_F1.3mm	(F5.2)	[0.07/17.8]? Uncertainty in F1.3mm	[ucd=stat.error]
#Column	r_F1.3mm	(I2)	F1.3mm reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpT	(a9)	Spectral Type	[ucd=src.spType]
#Column	r_SpT	(a5)	Spectral Type Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[-1.77/0.54] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(F5.2)	[0.01/0.38] Lower uncertainty in logMstar	[ucd=stat.error]
#Column	E_logMstar	(F5.2)	[0.0/0.38] Upper uncertainty in logMstar	[ucd=stat.error;stat.max]
#Column	logLstar	(F5.2)	[-2.35/1.72] Log of stellar luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_logLstar	(F5.2)	[0.01/0.65] Lower uncertainty in logLstar	[ucd=stat.error]
#Column	E_logLstar	(F5.2)	[0.01/0.65] Upper uncertainty in logLstar	[ucd=stat.error;stat.max]
#Column	l_logMdisk	(A1)	Limit flag on logMdisk	[ucd=meta.code.error]
#Column	logMdisk	(F5.2)	[-4.59/-0.93] Log of disk mass	[ucd=phys.mass]
#Column	e_logMdisk	(F5.2)	[0.08/0.27]? Uncertainty in logMdisk	[ucd=stat.error]
#Column	Dist	(F6.2)	[115.12/873.64] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.2)	[0.05/346.2] Uncertainty in Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/8]? Distance flag (2)	[ucd=meta.code]
#Column	L10	(I3)	Display data from Luhman+, 2010, J/ApJS/186/111 within 1"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
ALMA	2MASS	Role	Sample	binsep	r_binsep	l_F1.3mm	F1.3mm	e_F1.3mm	r_F1.3mm	SpT	r_SpT	logMstar	e_logMstar	E_logMstar	logLstar	e_logLstar	E_logLstar	l_logMdisk	logMdisk	e_logMdisk	Dist	e_Dist	f_Dist	L10	Simbad	_RA	_DE
 	J04181078+2519574	-9	N	      	 	 	 18.70	 1.40	 8	M0.6     	14   	-0.30	 0.10	 0.08	-0.18	 0.15	 0.11	 	-2.78	 0.09	130.87	  0.69	 	  1	Simbad	064.54493	+25.33261
 	J04181710+2828419	 0	Y	      	 	 	  0.47	 0.08	11	M5.75    	19   	-1.25	 0.13	 0.38	-1.58	 0.20	 0.65	 	-4.07	 0.19	124.31	  5.21	 	  1	Simbad	064.57129	+28.47831
 	J04183112+2816290	 1	Y	 0.570	1	 	  9.20	 4.30	 8	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.00	 0.18	128.39	  0.96	2	  1	Simbad	064.62970	+28.27477
 	J04183112+2816290	 2	Y	 0.570	1	 	  3.40	 1.90	 8	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.43	 0.21	128.39	  0.96	2	  1	Simbad	064.62970	+28.27477
*	J04183158+2816585	 1	Y	 0.317	1	<	  0.36	     	 7	M3       	20   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	<	-4.43	     	128.39	  0.96	2	  1	Simbad	064.63163	+28.28282
*	J04183158+2816585	 2	Y	 0.317	1	 	  0.62	 0.12	 7	M6       	8    	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	 	-3.94	 0.15	128.39	  0.96	2	  1	Simbad	064.63163	+28.28282
 	J04183444+2830302	-9	N	      	 	 	 15.40	 2.30	 8	M0       	12   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-2.89	 0.10	128.85	  1.14	2	  1	Simbad	064.64353	+28.50840
 	J04184133+2827250	-9	N	      	 	 	 30.80	 1.60	 8	K4.5     	19   	-0.07	 0.04	 0.08	 0.18	 0.07	 0.13	 	-2.67	 0.09	128.85	  1.14	2	  1	Simbad	064.67222	+28.45695
 	J04184250+2818498	-1	N	      	 	<	 13.00	     	 8	M0.5/2.75	15,8 	 0.01	 0.10	 0.07	 0.01	 0.16	 0.10	<	-3.02	     	125.27	  4.07	 	  1	Simbad	064.67708	+28.31386
 	J04190110+2819420	 0	Y	      	 	<	  0.16	     	11	M5.9     	14   	-1.24	 0.16	 0.33	-1.56	 0.25	 0.57	<	-4.59	     	119.03	  2.19	 	  1	Simbad	064.75460	+28.32836
 	J04190126+2802487	 0	N	      	 	<	  2.10	     	 8	M9.25    	22   	-1.77	 0.13	 0.14	-2.35	 0.15	 0.21	<	-3.20	     	128.36	  1.09	2	  1	Simbad	064.75534	+28.04671
 	J04191281+2829330	 1	Y	 0.780	1	 	  3.10	 0.21	 9	M3       	16   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	 	-3.49	 0.09	128.85	  1.14	2	  1	Simbad	064.80339	+28.49249
 	J04191281+2829330	 2	Y	 0.780	1	 	  2.70	 0.15	 9	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.53	 0.09	128.85	  1.14	2	  1	Simbad	064.80339	+28.49249
 	J04191583+2906269	 0	Y	      	 	 	 41.50	 2.20	 8	M0.5     	14   	-0.29	 0.10	 0.07	-0.17	 0.15	 0.10	 	-2.45	 0.09	128.61	  0.96	 	  1	Simbad	064.81598	+29.10748
 	J04192625+2826142	 0	Y	      	 	 	  0.53	 0.14	10	K8       	14   	-0.20	 0.01	 0.01	-0.03	 0.01	 0.01	 	-4.36	 0.12	131.22	  1.10	 	  1	Simbad	064.85945	+28.43729
 	J04193545+2827218	-9	N	      	 	<	 15.00	     	 8	M5.3     	14   	-1.00	 0.27	 0.21	-1.17	 0.42	 0.41	<	-2.64	     	128.39	  0.96	2	  1	Simbad	064.89773	+28.45608
 	J04201611+2821325	-9	N	      	 	<	  1.70	     	 8	M6.5     	12   	-1.33	 0.17	 0.27	-1.70	 0.25	 0.45	<	-3.46	     	128.66	  3.35	 	  1	Simbad	065.06714	+28.35903
 	J04202144+2813491	-9	N	      	 	 	 52.40	 1.50	 8	M1       	12   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.35	 0.09	126.23	  1.59	2	  1	Simbad	065.08934	+28.23033
 	J04202555+2700355	 0	Y	      	 	 	  5.79	 0.16	11	M5.25    	13   	-0.98	 0.27	 0.21	-1.14	 0.43	 0.40	 	-2.82	 0.13	169.80	  5.38	 	  1	Simbad	065.10649	+27.00987
 	J04202583+2819237	-9	N	      	 	<	  2.00	     	 8	M4       	12   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	<	-3.68	     	122.27	  6.43	 	  1	Simbad	065.10764	+28.32328
 	J04202606+2804089	-9	N	      	 	<	  4.30	     	 8	M3.5     	14   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	<	-3.34	     	127.05	  0.86	 	  1	Simbad	065.10861	+28.06918
 	J04210795+2702204	 0	Y	      	 	<	  2.70	     	 8	M5.25    	12   	-0.98	 0.27	 0.21	-1.14	 0.43	 0.40	<	-3.20	     	160.31	  2.41	2	  1	Simbad	065.28322	+27.03892
 	J04210934+2750368	-9	N	      	 	<	  1.80	     	 8	M4       	23   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	<	-3.76	     	117.94	  1.37	 	  1	Simbad	065.28891	+27.84343
 	J04213459+2701388	 0	Y	      	 	<	  0.17	     	11	M5.5     	13   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	<	-4.35	     	166.34	  3.85	 	  1	Simbad	065.39414	+27.02742
*	J04214323+1934133	 0	Y	      	 	 	  3.70	 0.21	 7	M2.4     	14   	-0.47	 0.13	 0.08	-0.42	 0.15	 0.11	 	-3.31	 0.09	148.16	  2.19	 	  1	Simbad	065.43015	+19.57036
 	J04214631+2659296	 0	Y	      	 	<	  3.90	     	 8	M5.75    	17   	-1.25	 0.13	 0.38	-1.58	 0.20	 0.65	<	-2.93	     	160.29	  7.35	 	  1	Simbad	065.44296	+26.99150
 	J04215563+2755060	 0	Y	      	 	 	 31.10	 3.10	 8	M2.3     	14   	-0.46	 0.12	 0.09	-0.41	 0.14	 0.12	 	-2.53	 0.09	126.92	  1.07	 	  1	Simbad	065.48181	+27.91838
 	J04215740+2826355	 0	Y	      	 	 	192.50	 9.10	 8	G0       	14   	 0.54	 0.01	 0.01	 1.72	 0.08	 0.05	 	-2.23	 0.08	132.82	  2.57	2	  1	Simbad	065.48922	+28.44320
*	J04220217+2657304	 1	Y	 0.227	1	 	  2.27	 0.18	 7	M0       	16   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-3.54	 0.09	160.31	  2.41	2	  1	Simbad	065.50914	+26.95843
*	J04220217+2657304	 2	Y	 0.227	1	<	  0.52	     	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	<	-4.06	     	160.31	  2.41	2	  1	Simbad	065.50914	+26.95843
 	J04221675+2654570	 0	Y	      	 	<	  4.20	     	 8	M1.5     	14   	-0.40	 0.08	 0.10	-0.32	 0.11	 0.15	<	-3.23	     	156.97	  3.36	 	  1	Simbad	065.56986	+26.91588
 	J04224786+2645530	-9	N	      	 	 	 51.00	 1.20	 8	M1       	24   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.17	 0.09	157.03	  2.73	 	  1	Simbad	065.69951	+26.76469
 	J04230607+2801194	 0	Y	      	 	 	  2.28	 0.14	11	M6       	12   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	 	-3.34	 0.14	133.44	  2.45	 	  1	Simbad	065.77533	+28.02210
 	J04230776+2805573	-9	N	      	 	 	 36.60	 1.30	 8	M2       	12   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-2.39	 0.09	138.64	  3.34	 	  1	Simbad	065.78240	+28.09930
 	J04231822+2641156	-9	N	      	 	<	  3.90	     	 8	M3.5     	24   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	<	-3.22	     	152.80	  3.88	2	  1	Simbad	065.82605	+26.68758
 	J04233539+2503026	 1	N	      	 	<	  1.70	     	 8	M7.25    	25   	-1.45	 0.18	 0.20	-1.89	 0.26	 0.32	<	-3.39	     	131.20	  2.60	 	  1	Simbad	065.89746	+25.05076
 	J04233539+2503026	 2	N	      	 	<	  1.70	     	 8	M9.25    	25   	-1.77	 0.13	 0.14	-2.35	 0.15	 0.21	<	-3.27	     	131.20	  2.60	1	  1	Simbad	065.89746	+25.05076
 	J04233919+2456141	 0	Y	      	 	 	 62.90	 4.30	 8	M2.8     	14   	-0.51	 0.18	 0.09	-0.47	 0.19	 0.11	 	-2.20	 0.09	127.34	  0.85	 	  1	Simbad	065.91329	+24.93729
 	J04242090+2630511	-9	N	      	 	<	  1.40	     	 8	M6.5     	24   	-1.33	 0.17	 0.27	-1.70	 0.25	 0.45	<	-3.48	     	137.19	  3.48	 	  1	Simbad	066.08707	+26.51418
 	J04242646+2649503	 0	Y	      	 	<	  3.00	     	 8	M5.75    	17   	-1.25	 0.13	 0.38	-1.58	 0.20	 0.65	<	-3.08	     	154.92	  3.15	 	  1	Simbad	066.11025	+26.83063
 	J04244457+2610141	-9	N	      	 	 	 19.80	 2.00	 8	M2.8     	14   	-0.51	 0.18	 0.09	-0.47	 0.19	 0.11	 	-2.51	 0.09	158.92	  2.77	 	  1	Simbad	066.18575	+26.17059
 	J04245708+2711565	 0	Y	      	 	 	  8.80	 1.50	 8	M0.6     	14   	-0.30	 0.10	 0.08	-0.18	 0.15	 0.11	 	-3.11	 0.10	130.09	  0.72	 	  1	Simbad	066.23784	+27.19904
 	J04262939+2624137	 0	Y	      	 	 	  2.29	 0.09	11	M6       	12   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	 	-3.21	 0.14	155.51	  5.55	 	  1	Simbad	066.62246	+26.40381
*	J04263055+2443558	 0	N	      	 	<	  0.30	     	 7	M8.75    	17   	-1.70	 0.13	 0.15	-2.26	 0.18	 0.24	<	-4.13	     	119.88	 10.05	 	  1	Simbad	066.62732	+24.73218
 	J04265352+2606543	 1	Y	 0.720	1	 	  6.17	 0.16	 9	K5       	16   	-0.10	 0.05	 0.06	 0.13	 0.08	 0.12	 	-3.26	 0.09	143.02	  6.31	2	  1	Simbad	066.72309	+26.11498
 	J04265352+2606543	 2	Y	 0.720	1	 	  5.93	 0.18	 9	K6       	1    	-0.15	 0.04	 0.05	 0.05	 0.07	 0.08	 	-3.26	 0.09	143.02	  6.31	2	  1	Simbad	066.72309	+26.11498
 	J04265440+2606510	 1	Y	 0.740	1	 	  0.76	 0.17	 9	M2.5     	12   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-4.05	 0.12	139.43	  2.65	 	  1	Simbad	066.72667	+26.11415
 	J04265440+2606510	 2	Y	 0.740	1	 	  0.40	 0.12	 9	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-4.29	 0.14	139.43	  2.65	1	  1	Simbad	066.72667	+26.11415
 	J04265732+2606284	 0	Y	      	 	<	  3.60	     	 8	M5.1     	14   	-0.94	 0.28	 0.20	-1.07	 0.45	 0.37	<	-3.26	     	132.92	  2.27	 	  1	Simbad	066.73882	+26.10787
 	J04270280+2542223	-1	N	      	 	 	  3.40	 1.70	 8	M2/2.5   	16   	-0.14	 0.10	 0.09	-0.10	 0.14	 0.12	 	-3.51	 0.19	135.66	  3.22	2	  1	Simbad	066.76163	+25.70624
 	J04270469+2606163	 0	Y	      	 	 	344.20	17.80	 8	K7.0     	14   	-0.19	 0.01	 0.04	-0.02	 0.01	 0.07	 	-1.51	 0.09	137.41	  4.53	2	  1	Simbad	066.76955	+26.10446
 	J04284263+2714039	 1	Y	 0.630	2	 	  0.67	 0.10	11	M5.25    	13   	-0.98	 0.27	 0.21	-1.14	 0.43	 0.40	 	-3.97	 0.14	132.37	  2.53	 	  1	Simbad	067.17764	+27.23442
 	J04284263+2714039	 2	Y	 0.630	2	<	  0.29	     	11	M5.25    	13   	-0.98	 0.27	 0.21	-1.14	 0.43	 0.40	<	-4.34	     	132.37	  2.53	1	  1	Simbad	067.17764	+27.23442
